Total happiness,Sex,UK_student,Ext_int,Absorbed,Bored
12,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
10,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
26,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
27,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
8,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
6,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
6,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
28,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
10,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
28,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
26,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
28,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
26,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
11,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
13,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
26,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
12,M,N,Extrovert,Y,Y
22,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
23,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
7,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
24,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
22,M,N,Extrovert,Y,Y
12,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
23,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
20,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
13,F,N,Extrovert,Y,Y
14,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
19,F,N,Extrovert,Y,Y
17,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
18,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
21,F,N,Extrovert,Y,Y
23,F,N,Extrovert,Y,Y
22,F,N,Extrovert,Y,Y
15,F,N,Extrovert,Y,Y
22,F,N,Extrovert,Y,Y
16,F,N,Extrovert,Y,Y
26,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
19,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
20,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
9,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
20,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
8,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
6,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
15,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
20,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
11,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
15,M,Y,Introvert,Y,Y
11,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
10,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
15,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
19,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
9,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
16,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
17,F,Y,Introvert,Y,Y
20,F,Y,Introvert,Y,Y
16,F,Y,Introvert,Y,Y
10,F,Y,Introvert,Y,Y
17,F,Y,Introvert,Y,Y
19,F,Y,Introvert,Y,Y
12,F,Y,Introvert,Y,Y
19,F,Y,Introvert,Y,Y
16,F,Y,Introvert,Y,Y
23,F,Y,Introvert,Y,Y
15,F,Y,Introvert,Y,Y
26,F,Y,Introvert,Y,Y
27,F,Y,Introvert,Y,Y
10,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
20,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
18,F,Y,Introvert,Y,Y
23,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
13,F,Y,Introvert,Y,Y
18,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
21,F,Y,Introvert,Y,Y
21,F,Y,Introvert,Y,Y
11,F,Y,Introvert,Y,Y
6,F,Y,Introvert,Y,Y
13,F,Y,Introvert,Y,Y
22,F,Y,Introvert,Y,Y
15,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
13,F,Y,Introvert,Y,Y
13,F,Y,Introvert,Y,Y
14,F,Y,Introvert,Y,Y
18,F,Y,Introvert,Y,Y
15,F,Y,Introvert,Y,Y
10,F,Y,Introvert,Y,Y
16,F,Y,Introvert,Y,Y
17,F,Y,Introvert,Y,Y
16,F,Y,Introvert,Y,Y
18,F,Y,Introvert,Y,Y
19,F,Y,Introvert,Y,Y
16,F,Y,Introvert,Y,Y
20,F,Y,Introvert,Y,Y
21,F,Y,Introvert,Y,Y
26,F,Y,Introvert,Y,Y
18,F,Y,Introvert,Y,Y
17,M,N,Introvert,Y,Y
20,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
12,M,N,Introvert,Y,Y
15,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
17,M,N,Introvert,Y,Y
19,M,N,Introvert,Y,Y
20,M,N,Introvert,Y,Y
12,M,N,Introvert,Y,Y
14,M,N,Introvert,Y,Y
19,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
19,M,N,Introvert,Y,Y
12,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
21,M,N,Introvert,Y,Y
21,M,N,Introvert,Y,Y
16,M,N,Introvert,Y,Y
19,M,N,Introvert,Y,Y
6,M,N,Introvert,Y,Y
21,F,N,Introvert,Y,Y
15,F,N,Introvert,Y,Y
12,F,N,Introvert,Y,Y
15,F,N,Introvert,Y,Y
18,F,N,Introvert,Y,Y
24,F,N,Introvert,Y,Y
19,F,N,Introvert,Y,Y
22,F,N,Introvert,Y,Y
18,F,N,Introvert,Y,Y
16,F,N,Introvert,Y,Y
14,F,N,Introvert,Y,Y
19,F,N,Introvert,Y,Y
21,F,N,Introvert,Y,Y
17,F,N,Introvert,Y,Y
15,F,N,Introvert,Y,Y
16,F,N,Introvert,Y,Y
22,F,N,Introvert,Y,Y
19,F,N,Introvert,Y,Y
20,F,N,Introvert,Y,Y
18,F,N,Introvert,Y,Y
10,F,N,Introvert,Y,Y
17,F,N,Introvert,Y,Y
14,F,N,Introvert,Y,Y
18,F,N,Introvert,Y,Y
17,F,N,Introvert,Y,Y
22,F,N,Introvert,Y,Y
13,F,N,Introvert,Y,Y
14,M,Y,,Y,Y
22,M,Y,,Y,Y
24,M,Y,,Y,Y
22,M,Y,,Y,Y
22,M,Y,,Y,Y
13,M,Y,,Y,Y
18,M,Y,,Y,Y
22,F,Y,,Y,Y
19,F,Y,,Y,Y
21,F,Y,,Y,Y
13,M,N,,Y,Y
28,M,N,,Y,Y
21,M,N,,Y,Y
16,M,N,,Y,Y
16,M,N,,Y,Y
14,F,N,,Y,Y
19,F,N,,Y,Y
15,F,N,,Y,Y
23,M,Y,Extrovert,N,Y
11,M,Y,Extrovert,N,Y
12,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
18,M,Y,Extrovert,N,Y
14,M,Y,Extrovert,N,Y
21,M,Y,Extrovert,N,Y
14,M,Y,Extrovert,N,Y
16,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
16,M,Y,Extrovert,N,Y
19,M,Y,Extrovert,N,Y
14,M,Y,Extrovert,N,Y
22,M,Y,Extrovert,N,Y
22,M,Y,Extrovert,N,Y
20,M,Y,Extrovert,N,Y
11,M,Y,Extrovert,N,Y
19,M,Y,Extrovert,N,Y
18,M,Y,Extrovert,N,Y
14,M,Y,Extrovert,N,Y
17,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
24,M,Y,Extrovert,N,Y
19,M,Y,Extrovert,N,Y
19,M,Y,Extrovert,N,Y
15,M,Y,Extrovert,N,Y
23,M,Y,Extrovert,N,Y
24,M,Y,Extrovert,N,Y
22,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
20,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
17,M,Y,Extrovert,N,Y
17,M,Y,Extrovert,N,Y
25,M,Y,Extrovert,N,Y
21,M,Y,Extrovert,N,Y
20,M,Y,Extrovert,N,Y
12,M,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
10,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
22,F,Y,Extrovert,N,Y
17,F,Y,Extrovert,N,Y
26,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
9,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
13,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
20,F,Y,Extrovert,N,Y
16,F,Y,Extrovert,N,Y
20,F,Y,Extrovert,N,Y
25,F,Y,Extrovert,N,Y
25,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
17,F,Y,Extrovert,N,Y
24,F,Y,Extrovert,N,Y
23,F,Y,Extrovert,N,Y
8,F,Y,Extrovert,N,Y
23,F,Y,Extrovert,N,Y
16,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
16,M,N,Extrovert,N,Y
18,M,N,Extrovert,N,Y
24,M,N,Extrovert,N,Y
14,M,N,Extrovert,N,Y
19,M,N,Extrovert,N,Y
21,M,N,Extrovert,N,Y
10,M,N,Extrovert,N,Y
20,M,N,Extrovert,N,Y
12,M,N,Extrovert,N,Y
12,M,N,Extrovert,N,Y
18,M,N,Extrovert,N,Y
17,F,N,Extrovert,N,Y
13,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
15,F,N,Extrovert,N,Y
15,F,N,Extrovert,N,Y
9,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
16,F,N,Extrovert,N,Y
16,F,N,Extrovert,N,Y
14,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
8,F,N,Extrovert,N,Y
20,F,N,Extrovert,N,Y
20,F,N,Extrovert,N,Y
