Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
16,M,N,Introvert,N,N,11
16,M,Y,,N,N,11
17,M,N,Introvert,Y,Y,11
17,M,Y,Extrovert,N,Y,11
17,F,Y,Extrovert,Y,N,11
17,M,N,Introvert,Y,N,11
17,F,N,Introvert,Y,N,11
18,F,Y,Extrovert,Y,Y,11
18,M,N,Extrovert,Y,Y,11
18,F,N,Extrovert,Y,Y,11
18,M,Y,Introvert,Y,Y,11
18,F,Y,Introvert,Y,Y,11
18,M,Y,Extrovert,N,Y,11
18,F,Y,Introvert,N,Y,11
18,M,N,Extrovert,Y,N,11
18,F,N,Introvert,Y,N,11
19,F,Y,Extrovert,Y,Y,11
19,F,Y,Extrovert,Y,Y,11
19,M,Y,Introvert,Y,Y,11
19,M,N,Introvert,Y,Y,11
19,F,N,Introvert,Y,Y,11
19,M,N,Extrovert,N,Y,11
19,M,Y,Extrovert,Y,N,11
20,M,Y,Extrovert,Y,Y,11
20,M,Y,Extrovert,Y,Y,11
20,F,Y,Extrovert,Y,Y,11
20,F,N,Extrovert,Y,Y,11
20,F,N,Extrovert,Y,Y,11
20,M,N,Introvert,Y,Y,11
20,F,Y,Introvert,N,Y,11
20,F,Y,Extrovert,Y,N,11
21,M,Y,Extrovert,Y,Y,11
21,M,N,Introvert,N,Y,11
21,M,Y,Introvert,Y,N,11
21,M,Y,Introvert,Y,N,11
21,F,Y,Introvert,Y,N,11
21,F,Y,Introvert,Y,N,11
22,M,N,Extrovert,Y,Y,11
22,F,N,Introvert,Y,Y,11
23,M,Y,Extrovert,Y,Y,11
23,M,N,Extrovert,Y,Y,11
23,M,Y,Introvert,Y,Y,11
23,F,Y,Extrovert,N,Y,11
23,M,Y,Extrovert,Y,N,11
23,M,Y,Extrovert,Y,N,11
23,F,Y,Extrovert,Y,N,11
23,M,N,Extrovert,Y,N,11
23,F,Y,Introvert,Y,N,11
7,M,N,Extrovert,Y,Y,12
8,M,N,Extrovert,Y,N,12
9,F,N,Extrovert,N,Y,12
10,F,N,Introvert,Y,Y,12
10,M,N,Extrovert,N,Y,12
10,F,N,Extrovert,Y,N,12
10,F,N,Introvert,Y,N,12
11,F,Y,Introvert,N,Y,12
11,F,Y,Extrovert,Y,N,12
12,F,Y,Introvert,Y,N,12
12,F,Y,Introvert,Y,N,12
12,M,N,Introvert,N,N,12
13,M,Y,Extrovert,N,Y,12
13,F,N,Introvert,N,Y,12
13,M,Y,Extrovert,Y,N,12
13,M,Y,Extrovert,Y,N,12
13,M,Y,Extrovert,N,N,12
14,M,Y,Extrovert,Y,Y,12
14,F,Y,Extrovert,Y,Y,12
14,M,N,Introvert,Y,Y,12
14,F,N,Introvert,Y,Y,12
14,M,Y,Introvert,N,N,12
15,F,Y,Extrovert,Y,Y,12
15,M,Y,Extrovert,N,Y,12
15,F,Y,Extrovert,Y,N,12
15,F,N,Introvert,Y,N,12
15,F,Y,Introvert,N,N,12
16,M,Y,Extrovert,Y,Y,12
16,M,Y,Introvert,Y,Y,12
16,F,Y,Introvert,Y,Y,12
16,F,Y,Introvert,Y,Y,12
16,F,Y,Extrovert,N,Y,12
16,F,Y,Extrovert,Y,N,12
16,F,Y,Introvert,Y,N,12
16,M,N,Introvert,Y,N,12
16,F,N,Introvert,Y,N,12
16,M,N,Extrovert,N,N,12
17,M,Y,Introvert,Y,Y,12
17,F,Y,Introvert,Y,Y,12
17,F,N,Introvert,Y,Y,12
17,F,Y,Extrovert,Y,N,12
17,F,N,Extrovert,Y,N,12
18,F,Y,Extrovert,Y,Y,12
18,M,Y,Introvert,Y,Y,12
18,M,Y,Introvert,Y,Y,12
18,F,N,Introvert,Y,Y,12
18,F,N,Introvert,Y,Y,12
18,M,N,Extrovert,Y,N,12
18,M,N,Extrovert,N,N,12
18,M,N,Introvert,N,N,12
19,M,Y,Extrovert,Y,Y,12
19,M,Y,Extrovert,Y,Y,12
19,M,Y,Extrovert,N,Y,12
19,M,Y,Extrovert,N,Y,12
19,F,N,Extrovert,N,Y,12
19,M,N,Extrovert,Y,N,12
19,M,Y,Introvert,Y,N,12
20,F,N,Extrovert,Y,Y,12
20,F,N,Introvert,Y,Y,12
20,M,Y,Introvert,N,Y,12
20,M,Y,Extrovert,Y,N,12
20,F,N,Extrovert,Y,N,12
20,F,N,Extrovert,Y,N,12
21,F,Y,Extrovert,Y,Y,12
21,F,N,Extrovert,Y,Y,12
21,M,N,Extrovert,N,Y,12
21,M,N,Extrovert,Y,N,12
21,M,Y,Introvert,Y,N,12
23,F,N,Extrovert,Y,Y,12
23,M,Y,Extrovert,N,N,12
24,M,Y,Introvert,Y,Y,12
24,M,Y,Extrovert,N,Y,12
24,F,N,Introvert,N,Y,12
24,M,Y,Extrovert,Y,N,12
24,M,N,Extrovert,Y,N,12
24,M,Y,Extrovert,N,N,12
24,F,N,Extrovert,N,N,12
24,F,N,Introvert,N,N,12
24,F,N,Introvert,N,N,12
25,F,Y,Introvert,Y,N,12
8,M,N,Extrovert,Y,N,13
11,M,N,Introvert,N,Y,13
12,F,Y,Introvert,N,Y,13
12,M,N,Introvert,N,Y,13
12,F,N,Introvert,Y,N,13
13,F,N,Introvert,Y,Y,13
13,F,N,Introvert,N,Y,13
13,F,N,Extrovert,N,N,13
14,M,Y,Introvert,Y,Y,13
14,F,N,Extrovert,Y,N,13
14,F,Y,Introvert,Y,N,13
15,M,Y,Extrovert,Y,Y,13
15,F,N,Extrovert,Y,Y,13
15,M,Y,Introvert,N,Y,13
15,F,N,Introvert,N,Y,13
15,F,Y,Introvert,N,N,13
15,M,N,Introvert,N,N,13
15,F,Y,Introvert,,N,13
16,F,Y,Extrovert,Y,Y,13
16,F,Y,Extrovert,Y,Y,13
16,F,Y,Introvert,Y,Y,13
16,M,N,Introvert,Y,Y,13
16,F,N,Extrovert,N,Y,13
16,F,N,Extrovert,N,Y,13
16,F,Y,Introvert,N,Y,13
16,F,N,Introvert,N,Y,13
16,F,Y,Introvert,Y,N,13
16,F,N,Introvert,Y,N,13
16,F,N,Introvert,Y,N,13
16,M,N,Introvert,N,N,13
16,F,N,Introvert,N,N,13
17,M,Y,Extrovert,Y,Y,13
17,M,Y,Extrovert,Y,Y,13
17,F,Y,Extrovert,Y,Y,13
17,F,N,Introvert,Y,Y,13
17,F,N,Introvert,,Y,13
17,M,Y,Extrovert,Y,N,13
17,M,Y,Extrovert,Y,N,13
17,M,Y,Extrovert,Y,N,13
17,M,Y,Introvert,Y,N,13
17,F,N,,N,N,13
18,M,Y,Extrovert,Y,Y,13
18,F,Y,Introvert,Y,Y,13
18,F,Y,Introvert,N,Y,13
18,F,N,Extrovert,Y,N,13
18,F,Y,Introvert,Y,N,13
18,F,N,Introvert,N,N,13
18,F,N,Introvert,N,N,13
18,M,N,Introvert,,N,13
19,M,Y,Extrovert,Y,Y,13
19,M,N,Extrovert,Y,Y,13
19,F,Y,Introvert,Y,Y,13
19,M,N,Introvert,Y,Y,13
19,M,Y,Introvert,N,Y,13
19,M,N,Extrovert,,Y,13
19,M,Y,Introvert,Y,N,13
19,F,Y,Introvert,Y,N,13
19,F,N,Introvert,Y,N,13
19,F,Y,Extrovert,N,N,13
19,F,N,Introvert,N,N,13
20,M,N,Extrovert,N,Y,13
20,F,Y,Introvert,N,Y,13
20,F,N,Introvert,Y,N,13
20,F,N,Extrovert,N,N,13
21,M,Y,Extrovert,Y,Y,13
21,M,N,,Y,Y,13
21,F,N,Introvert,Y,N,13
21,F,N,Introvert,N,N,13
22,F,N,Extrovert,Y,Y,13
23,M,Y,Extrovert,N,Y,13
23,F,Y,Extrovert,Y,N,13
24,M,Y,Extrovert,Y,Y,13
24,M,Y,Introvert,Y,Y,13
24,M,Y,Extrovert,N,Y,13
25,M,Y,Extrovert,Y,Y,13
25,M,Y,Extrovert,Y,Y,13
25,M,Y,Extrovert,Y,N,13
25,M,N,Extrovert,Y,N,13
25,M,Y,Extrovert,N,N,13
6,M,Y,Extrovert,Y,Y,14
7,F,Y,Introvert,N,Y,14
8,F,N,Extrovert,N,Y,14
10,F,Y,Introvert,Y,N,14
11,M,Y,Introvert,Y,Y,14
11,M,Y,Introvert,Y,N,14
12,M,N,Extrovert,Y,N,14
12,M,N,Introvert,Y,N,14
13,M,Y,Extrovert,N,Y,14
14,M,Y,Extrovert,Y,Y,14
14,M,Y,Extrovert,Y,Y,14
14,M,Y,Introvert,Y,Y,14
14,F,N,Extrovert,N,Y,14
14,M,Y,Introvert,N,Y,14
14,M,N,Introvert,Y,N,14
15,M,Y,Introvert,N,Y,14
15,M,N,,N,Y,14
15,F,N,Extrovert,N,N,14
16,M,N,Extrovert,Y,Y,14
16,M,Y,Extrovert,Y,N,14
16,F,N,,Y,N,14
17,M,Y,Introvert,Y,Y,14
17,M,N,Introvert,Y,N,14
18,M,Y,Extrovert,Y,Y,14
18,M,Y,Extrovert,Y,Y,14
18,M,Y,Extrovert,Y,Y,14
18,M,Y,Extrovert,Y,N,14
18,M,Y,Extrovert,Y,N,14
18,M,Y,Introvert,Y,N,14
18,F,N,Introvert,,N,14
19,F,N,Extrovert,N,Y,14
20,F,Y,Extrovert,Y,Y,14
20,F,N,Extrovert,N,Y,14
20,M,N,Introvert,Y,N,14
21,M,N,Extrovert,Y,N,14
21,F,Y,Introvert,N,N,14
22,F,Y,Extrovert,Y,Y,14
22,M,Y,Introvert,Y,Y,14
22,M,Y,Extrovert,N,Y,14
23,M,Y,Extrovert,Y,N,14
24,M,Y,Introvert,N,Y,14
12,F,Y,Introvert,Y,N,15
13,M,Y,Extrovert,Y,Y,15
13,M,Y,Extrovert,Y,Y,15
13,M,Y,Extrovert,N,Y,15
14,M,Y,Introvert,N,Y,15
15,M,Y,Extrovert,Y,Y,15
16,M,Y,Introvert,Y,Y,15
16,M,Y,Introvert,Y,Y,15
16,M,N,Introvert,Y,Y,15
16,F,N,Extrovert,Y,N,15
17,M,Y,Extrovert,Y,N,15
17,M,N,Extrovert,Y,N,15
17,M,Y,Introvert,Y,N,15
17,F,N,Extrovert,N,N,15
18,M,Y,Introvert,Y,Y,15
20,M,Y,Extrovert,Y,Y,15
20,M,Y,Introvert,N,Y,15
20,F,N,Extrovert,Y,N,15
21,M,Y,Extrovert,Y,N,15
22,M,N,Introvert,N,Y,15
11,M,Y,Introvert,N,N,16
11,M,Y,Introvert,N,N,16
12,M,Y,Introvert,Y,Y,16
12,M,N,Introvert,Y,Y,16
12,M,N,Extrovert,N,Y,16
12,M,Y,Extrovert,Y,N,16
12,M,N,Introvert,N,N,16
13,M,Y,Extrovert,N,Y,16
13,M,Y,Introvert,N,Y,16
13,M,Y,Extrovert,Y,N,16
14,M,Y,Introvert,Y,Y,16
14,M,Y,Introvert,Y,N,16
14,M,N,Introvert,Y,N,16
14,F,N,Introvert,Y,N,16
15,M,Y,Introvert,Y,Y,16
15,F,N,Introvert,N,Y,16
15,M,N,Extrovert,Y,N,16
16,M,Y,Extrovert,Y,Y,16
16,M,Y,Extrovert,Y,Y,16
16,M,N,Introvert,Y,Y,16
16,M,N,,Y,Y,16
16,M,Y,Introvert,N,Y,16
16,M,N,Introvert,,Y,16
16,M,Y,Introvert,Y,N,16
17,M,Y,Extrovert,Y,Y,16
17,M,Y,Extrovert,Y,Y,16
17,M,N,Extrovert,Y,Y,16
17,M,Y,Introvert,Y,Y,16
17,M,Y,Extrovert,N,Y,16
17,M,Y,Extrovert,N,Y,16
17,M,Y,Extrovert,Y,N,16
17,M,N,Extrovert,Y,N,16
17,M,N,Extrovert,Y,N,16
18,M,N,Extrovert,Y,Y,16
18,M,Y,Introvert,N,Y,16
19,M,Y,Extrovert,Y,Y,16
19,M,N,Extrovert,Y,Y,16
19,M,Y,Introvert,Y,Y,16
19,M,N,Introvert,Y,Y,16
20,M,Y,Extrovert,N,Y,16
20,F,N,Extrovert,N,Y,16
20,M,Y,Introvert,N,Y,16
20,M,Y,Extrovert,Y,N,16
20,M,N,Extrovert,N,N,16
21,M,Y,Extrovert,Y,N,16
22,M,Y,Introvert,Y,Y,16
22,M,Y,,Y,Y,16
22,M,Y,,Y,Y,16
22,M,Y,Introvert,N,Y,16
22,M,Y,Extrovert,Y,N,16
22,F,Y,,Y,N,16
23,M,Y,Extrovert,Y,N,16
24,M,Y,Introvert,Y,Y,16
25,M,N,Extrovert,Y,N,16
26,M,Y,Extrovert,Y,N,16
28,M,Y,Introvert,Y,N,16
10,M,Y,Introvert,Y,Y,17
11,M,Y,Introvert,Y,Y,17
13,M,Y,Extrovert,Y,Y,17
14,M,Y,Extrovert,Y,Y,17
15,M,Y,Extrovert,Y,Y,17
15,M,Y,Introvert,Y,N,17
16,M,Y,Extrovert,Y,Y,17
16,F,N,Extrovert,Y,N,17
17,M,Y,Extrovert,Y,Y,17
17,M,Y,Extrovert,Y,N,17
18,M,Y,Extrovert,Y,Y,17
18,M,N,Extrovert,Y,Y,17
19,M,Y,Extrovert,Y,Y,17
19,M,N,Extrovert,Y,Y,17
19,M,Y,Introvert,N,Y,17
19,F,Y,Introvert,N,Y,17
19,M,Y,Extrovert,Y,N,17
19,M,N,Extrovert,Y,N,17
19,F,Y,Introvert,Y,N,17
20,F,Y,Introvert,Y,Y,17
20,F,N,Extrovert,Y,N,17
21,M,Y,Introvert,Y,Y,17
21,M,N,Introvert,Y,Y,17
21,F,N,Extrovert,Y,N,17
21,M,Y,Introvert,Y,N,17
22,M,Y,Extrovert,Y,Y,17
22,M,Y,Extrovert,Y,N,17
23,M,Y,Extrovert,Y,Y,17
24,M,N,Extrovert,Y,Y,17
24,M,Y,Extrovert,Y,N,17
24,M,Y,Extrovert,Y,N,17
24,M,Y,Extrovert,Y,N,17
25,M,Y,Extrovert,N,Y,17
27,M,Y,Extrovert,Y,N,17
28,M,Y,Extrovert,Y,Y,17
13,M,N,Extrovert,Y,N,18
14,M,N,Extrovert,N,N,18
15,F,N,Extrovert,Y,N,18
16,M,Y,Introvert,Y,Y,18
17,M,Y,Introvert,Y,N,18
19,M,Y,Extrovert,Y,Y,18
19,F,Y,Extrovert,Y,Y,18
19,F,Y,Extrovert,N,Y,18
20,M,Y,Introvert,Y,N,18
21,M,N,Introvert,Y,Y,18
21,F,N,Introvert,Y,N,18
22,F,N,Extrovert,Y,Y,18
23,M,Y,Introvert,Y,N,18
26,F,Y,Introvert,Y,N,18
9,M,N,Introvert,N,Y,19
10,M,Y,Extrovert,Y,Y,19
10,M,Y,Introvert,N,Y,19
12,M,N,Extrovert,N,Y,19
13,F,N,Extrovert,N,Y,19
13,M,Y,Introvert,N,Y,19
13,M,N,Introvert,N,Y,19
13,M,Y,Introvert,N,N,19
14,M,Y,Introvert,Y,Y,19
14,F,N,Introvert,N,Y,19
14,M,Y,Extrovert,Y,N,19
15,M,Y,Introvert,Y,Y,19
15,M,Y,Introvert,Y,N,19
16,M,N,Extrovert,Y,Y,19
16,F,N,Extrovert,Y,Y,19
18,M,Y,Extrovert,Y,Y,19
18,M,Y,Introvert,Y,Y,19
18,M,Y,Introvert,N,Y,19
18,M,N,Extrovert,Y,N,19
20,M,Y,Introvert,,N,19
21,M,Y,Extrovert,Y,Y,19
21,F,Y,Introvert,Y,Y,19
21,M,Y,Extrovert,N,Y,19
21,M,Y,Introvert,Y,N,19
22,F,Y,Extrovert,Y,Y,19
22,M,N,Extrovert,Y,Y,19
22,F,Y,Extrovert,Y,N,19
26,F,Y,Introvert,Y,Y,19
12,M,Y,Introvert,N,Y,20
14,M,Y,Extrovert,Y,Y,20
16,M,Y,Extrovert,Y,Y,20
16,M,Y,Introvert,Y,Y,20
17,M,Y,Extrovert,Y,Y,20
18,F,Y,Introvert,Y,Y,20
20,F,N,Introvert,Y,N,20
21,M,Y,Extrovert,Y,N,20
22,F,N,Introvert,,N,20
24,M,Y,Extrovert,Y,Y,20
7,M,N,Extrovert,N,N,21
11,M,Y,Introvert,Y,N,21
11,M,Y,Introvert,,,21
12,M,N,Extrovert,Y,Y,21
13,M,Y,Extrovert,Y,Y,21
13,M,Y,,Y,Y,21
14,M,Y,Extrovert,Y,Y,21
14,M,Y,Introvert,Y,Y,21
14,M,Y,Extrovert,Y,N,21
14,M,Y,Introvert,Y,N,21
14,M,Y,Introvert,Y,N,21
14,M,Y,Extrovert,,,21
15,M,Y,Extrovert,Y,Y,21
15,M,Y,Introvert,N,Y,21
15,M,Y,Extrovert,Y,N,21
15,M,Y,Introvert,Y,N,21
16,M,Y,Extrovert,Y,Y,21
16,M,Y,Extrovert,Y,Y,21
16,M,N,Introvert,Y,Y,21
16,M,Y,Extrovert,N,N,21
17,M,Y,Extrovert,Y,Y,21
17,M,Y,Extrovert,Y,Y,21
17,M,Y,Extrovert,Y,N,21
18,M,Y,Extrovert,Y,Y,21
18,M,Y,Introvert,Y,Y,21
18,M,N,Extrovert,N,Y,21
18,M,Y,Extrovert,Y,N,21
18,M,Y,Extrovert,Y,N,21
18,M,Y,Extrovert,Y,N,21
18,M,Y,Introvert,Y,N,21
19,M,Y,Extrovert,Y,Y,21
19,M,Y,Introvert,Y,Y,21
19,M,Y,Introvert,Y,N,21
20,M,Y,Extrovert,Y,Y,21
20,M,Y,Extrovert,N,Y,21
20,M,Y,Extrovert,Y,N,21
20,M,Y,Extrovert,Y,N,21
20,M,Y,Extrovert,Y,N,21
21,M,Y,Introvert,Y,Y,21
21,M,Y,Extrovert,Y,N,21
21,M,Y,Introvert,Y,N,21
22,M,Y,Extrovert,Y,Y,21
22,M,Y,Extrovert,Y,N,21
23,M,Y,Extrovert,Y,Y,21
23,M,Y,Extrovert,Y,Y,21
23,M,Y,Extrovert,Y,N,21
23,M,Y,Extrovert,Y,N,21
24,M,Y,Extrovert,Y,Y,21
24,M,Y,Extrovert,Y,Y,21
24,M,Y,Extrovert,Y,Y,21
24,M,Y,Extrovert,Y,N,21
26,M,Y,Extrovert,Y,N,21
26,M,N,Extrovert,Y,N,21
28,M,Y,Extrovert,Y,Y,21
6,M,N,Introvert,Y,Y,22
9,M,Y,Introvert,Y,Y,22
10,F,Y,Introvert,N,Y,22
11,M,N,Introvert,,Y,22
13,M,Y,Extrovert,Y,Y,22
13,M,Y,Extrovert,Y,Y,22
13,M,Y,Introvert,N,Y,22
14,M,Y,Extrovert,Y,Y,22
14,M,Y,Extrovert,Y,Y,22
14,M,Y,Introvert,Y,Y,22
14,M,Y,Introvert,Y,N,22
14,M,Y,Extrovert,,N,22
15,M,Y,Extrovert,Y,Y,22
15,M,Y,Introvert,N,Y,22
15,M,Y,Introvert,N,Y,22
15,M,Y,Introvert,Y,N,22
15,M,N,Introvert,Y,N,22
16,M,Y,Extrovert,Y,Y,22
16,M,Y,Extrovert,Y,Y,22
16,M,N,,Y,Y,22
16,M,Y,Extrovert,Y,N,22
16,M,N,Extrovert,Y,N,22
16,F,N,Introvert,Y,N,22
17,M,Y,Extrovert,Y,Y,22
17,M,Y,Extrovert,Y,Y,22
17,M,N,Extrovert,Y,Y,22
17,M,Y,Introvert,Y,Y,22
17,M,Y,Introvert,N,Y,22
18,M,Y,Extrovert,Y,Y,22
18,M,Y,Extrovert,Y,Y,22
18,M,N,Extrovert,Y,Y,22
18,M,Y,Introvert,Y,Y,22
18,M,Y,Extrovert,Y,N,22
18,M,Y,Extrovert,Y,N,22
18,M,Y,,Y,N,22
19,M,Y,Extrovert,Y,Y,22
19,M,Y,Extrovert,Y,Y,22
19,M,Y,Extrovert,Y,Y,22
19,M,N,Introvert,Y,Y,22
20,M,Y,Extrovert,Y,Y,22
20,F,Y,Extrovert,Y,Y,22
20,M,N,Extrovert,Y,Y,22
20,F,N,Extrovert,Y,Y,22
20,M,Y,Extrovert,Y,N,22
20,M,Y,Introvert,Y,N,22
20,M,Y,Introvert,N,N,22
21,M,Y,Extrovert,Y,N,22
21,M,Y,,Y,N,22
22,M,Y,Extrovert,Y,Y,22
22,M,Y,Extrovert,Y,N,22
22,F,N,Extrovert,Y,N,22
23,M,Y,Extrovert,Y,Y,22
23,M,Y,Extrovert,Y,Y,22
23,M,N,Extrovert,Y,Y,22
23,M,Y,Introvert,Y,Y,22
24,M,Y,Introvert,Y,Y,22
24,M,N,Extrovert,Y,N,22
24,M,N,Introvert,Y,N,22
26,F,N,Extrovert,Y,Y,22
12,M,Y,Extrovert,N,Y,23
12,M,N,Introvert,Y,N,23
13,M,Y,Extrovert,Y,Y,23
13,M,Y,Introvert,Y,Y,23
13,M,Y,Introvert,Y,N,23
14,M,Y,Extrovert,Y,Y,23
14,M,Y,Introvert,Y,Y,23
14,M,Y,Introvert,Y,Y,23
14,M,Y,Extrovert,Y,N,23
15,M,Y,Introvert,N,Y,23
15,M,Y,Introvert,Y,N,23
16,F,Y,Extrovert,Y,Y,23
16,M,N,Extrovert,Y,Y,23
16,M,Y,Introvert,Y,Y,23
16,M,Y,Extrovert,Y,N,23
16,M,Y,Introvert,Y,N,23
16,M,Y,Introvert,Y,N,23
16,M,Y,Introvert,Y,N,23
17,M,Y,Introvert,N,Y,23
17,M,Y,Extrovert,Y,N,23
17,F,N,Extrovert,Y,N,23
18,M,Y,Introvert,Y,Y,23
18,M,Y,Introvert,Y,Y,23
18,M,Y,Introvert,Y,Y,23
18,M,Y,,Y,Y,23
18,M,Y,Extrovert,Y,N,23
18,M,Y,Extrovert,Y,N,23
18,M,Y,Introvert,Y,N,23
19,M,Y,Extrovert,Y,Y,23
19,M,Y,Extrovert,Y,N,23
19,M,Y,Extrovert,Y,N,23
19,M,Y,Introvert,Y,N,23
19,M,Y,,Y,N,23
19,F,Y,,Y,N,23
20,M,Y,Extrovert,Y,Y,23
20,M,Y,Extrovert,Y,Y,23
20,M,Y,Extrovert,Y,Y,23
20,F,Y,Extrovert,Y,N,23
20,M,N,Introvert,Y,N,23
21,M,Y,Introvert,Y,Y,23
21,M,Y,Extrovert,Y,N,23
21,M,Y,Extrovert,Y,N,23
21,M,Y,Extrovert,Y,N,23
21,F,Y,Introvert,Y,N,23
22,M,Y,Extrovert,Y,Y,23
22,F,N,Introvert,Y,Y,23
23,M,Y,Extrovert,Y,Y,23
23,M,Y,Extrovert,Y,N,23
23,F,Y,Extrovert,Y,N,23
24,M,Y,Extrovert,Y,N,23
